"patients","tgds","generate_tgds","extract_to_fo","core_chase","build_graphs","paths_hitting","transfer_delete","total_runtime","ts"
"20000","100","0.004381499999999816","0.5027626999999999","1.8921958","0.10327189999999975","","","2.5026118999999993","2025-09-18T15:16:01"
"20000","200","0.007592700000000008","0.8811346000000002","3.5619731999999997","0.5176806999999997","","","4.9683812","2025-09-18T15:16:07"
"20000","400","0.023773600000000172","1.2203087000000004","6.0436426999999995","0.5529507000000002","","","7.8406757","2025-09-18T15:16:16"
"40000","100","0.0031575000000003683","0.9235545999999992","5.811858400000002","0.0871777999999992","","","6.825748300000001","2025-09-18T15:16:27"
"40000","200","0.005335500000001048","1.9793897000000023","6.0072793","0.39799339999999717","","","8.389997900000001","2025-09-18T15:16:38"
"40000","400","0.019608100000006345","2.752057800000003","13.825588500000002","2.238902500000002","","","18.836156900000013","2025-09-18T15:16:59"
"20000","100","0.004212399999999991","0.5687957","2.1077005","0.07769399999999971","","","2.7584025999999997","2025-09-18T15:18:00"
"20000","200","0.009369900000000264","1.1512992000000004","4.125605800000001","0.6202222000000006","","","5.906497100000002","2025-09-18T15:18:08"
"20000","400","0.02443500000000043","1.658232700000001","7.232487800000001","0.4791269000000007","","","9.394282400000003","2025-09-18T15:18:19"
"40000","100","0.006126399999999421","1.1557776000000004","7.121256299999999","0.05405840000000239","","","8.337218700000001","2025-09-18T15:18:30"
"40000","200","0.008843800000001067","2.9785076000000004","7.1543651","0.3570695000000015","","","10.498786000000003","2025-09-18T15:18:44"
"40000","400","0.02958459999999974","4.243277899999995","15.446185","2.3895952000000023","","","22.108642699999997","2025-09-18T15:19:10"
"20000","100","0.00395609999999999","0.5987755","1.9754802000000002","0.08235590000000004","0.6502620000000001","0.07672109999999988","3.3875508","2025-09-18T15:19:10"
"20000","200","0.006300599999999434","0.8795384999999998","3.5652127","0.5503408999999984","0.561308799999999","0.10935499999999898","5.672056499999996","2025-09-18T15:19:17"
"20000","400","0.018410499999999885","1.1755885999999993","5.663191099999999","0.5733481000000005","0.512496800000001","0.1055577999999997","8.0485929","2025-09-18T15:19:25"
"40000","100","0.003193100000000726","0.6773950000000006","5.738284","0.05909600000000026","1.2270333999999998","0.07958980000000082","7.784591300000002","2025-09-18T15:19:34"
"40000","200","0.005208700000000732","1.9745944999999985","6.1165409","0.38772759999999806","0.9986346999999967","0.10312749999999937","9.585833899999994","2025-09-18T15:19:45"
"40000","400","0.018756599999996126","2.5294146000000026","13.192143600000001","2.309463700000002","1.0255970000000048","0.21196150000000102","19.287337000000008","2025-09-18T15:20:05"
"20000","100","0.006419200000000014","0.8242882999999999","2.3165111000000005","0.1003687000000002","0.7255900999999998","0.0989867999999996","4.0721642","2025-09-18T17:23:23"
"20000","100","0.003980600000000001","0.6971636","2.2284594999999996","0.07879270000000016","0.7378752999999998","0.08569870000000002","3.8319703999999994","2025-09-18T17:27:01"
"20000","100","0.004306099999999979","0.8031037000000001","2.3627808999999997","0.07748799999999978","0.8129002000000001","0.08739249999999998","4.147971399999999","2025-09-18T17:27:45"
"20000","200","0.00815530000000031","1.0566050999999996","4.044621500000001","0.5850706999999993","0.7024530999999996","0.1396120000000014","6.536517700000001","2025-09-18T17:27:52"
"20000","400","0.024971400000000088","1.4812681000000012","6.822432700000002","0.46448739999999944","0.6837151000000006","0.12738960000000077","9.604264300000004","2025-09-18T17:28:02"
"40000","100","0.0040362999999992155","1.0249108999999983","6.927579899999998","0.06589599999999862","1.886901499999997","0.10205870000000061","10.011383299999991","2025-09-18T17:28:13"
"40000","200","0.008460300000002974","2.8371415999999954","7.1736054","0.3885908000000029","1.4603183000000044","0.1271556000000018","11.995272000000007","2025-09-18T17:28:27"
"20000","100","0.005018800000000018","0.8183478","2.4694652","0.07423139999999995","0.8051349999999999","0.08122529999999983","4.2534235","2025-09-18T17:28:38"
"20000","200","0.008177299999999832","1.0421609999999992","4.219528300000001","0.5127629000000002","0.6682569000000012","0.11822210000000055","6.569108500000002","2025-09-18T17:28:45"
"20000","400","0.028412899999999297","1.539674699999999","6.697697900000001","0.46215830000000224","0.7164683000000025","0.11813390000000012","9.562546000000005","2025-09-18T17:28:56"
"40000","100","0.0034496999999973355","1.168655600000001","7.1044859","0.05237419999999915","1.6507814999999972","0.09668130000000019","10.076428199999995","2025-09-18T17:29:07"
"40000","200","0.007049899999998388","2.730167900000005","7.324999700000006","0.3595453000000006","1.5290661000000014","0.12128400000000283","12.072112900000015","2025-09-18T17:29:21"
"40000","400","0.02576270000000136","3.7638120999999956","15.856700499999995","2.2378722000000124","1.7806959999999918","0.34101990000000626","24.005863400000003","2025-09-18T17:29:47"
"20000","100","0.004114600000000024","0.8237437999999999","2.3302582000000003","0.0780031000000001","0.7677179000000001","0.038687600000000266","4.042525200000001","2025-09-18T17:30:53"
"20000","200","0.007504100000000236","1.0316474000000007","4.0355049","0.5605437999999996","0.6993539000000002","0.039461400000000424","6.374015500000001","2025-09-18T17:31:01"
"20000","100","0.004500500000000018","0.7286277999999999","2.2097181999999997","0.09751010000000004","0.8404141999999997","0.03634480000000018","3.9171156","2025-09-18T17:31:21"
"20000","200","0.008819599999999816","1.1667440999999998","4.432162399999999","0.5247771999999991","0.7153115999999997","0.03891509999999876","6.8867299999999965","2025-09-18T17:31:29"
"20000","400","0.023202799999999968","1.4958525999999992","6.648866000000002","0.39249849999999853","0.7046315000000014","0.03501070000000084","9.300062100000002","2025-09-18T17:31:39"
"40000","100","0.004540299999998609","0.9827228999999988","7.186268199999997","0.07440430000000475","1.5560304999999985","0.04957560000000427","9.853541800000002","2025-09-18T17:31:52"
"40000","200","0.007124899999993772","2.6317353999999966","7.471655499999997","0.38974890000000073","1.4676212999999976","0.043480299999998806","12.011366299999985","2025-09-18T17:32:05"
"40000","400","0.02449680000000143","3.257510499999995","15.3514853","2.2643910000000034","1.392300800000001","0.07393670000000441","22.364121100000006","2025-09-18T17:32:30"
"200000","100","0.0056101999999995655","11.0350313","35.4144829","0.6011370000000085","8.329692100000003","0.14730640000000506","55.53325990000002","2025-09-18T17:34:38"
"200000","200","0.00873129999999378","11.894688900000006","36.533444","0.9166118999999924","8.330222800000001","0.13581019999998034","57.819509099999976","2025-09-18T17:35:45"
"200000","400","0.020442799999983663","18.504245800000007","85.4199108","14.729327000000012","8.485269099999982","0.2765420000000063","127.43573749999999","2025-09-18T17:38:01"
"20000","100","0.00594159999999988","0.7525865999999999","2.2403794000000006","0.08809129999999943","0.7172304","0.019610100000000408","3.8238394","2025-09-18T17:54:42"
"20000","200","0.008154600000000123","1.0893464000000002","4.1940661","0.5287307000000006","0.7075054999999999","0.024593599999999327","6.5523969","2025-09-18T17:54:49"
"250000","100","0.004497000000000639","15.480225900000004","36.560439099999996","4.893434599999992","10.242817299999999","0.08155829999999753","67.2629722","2025-09-18T17:56:47"
"250000","100","0.0058017999999968595","16.383998300000002","38.02844519999999","5.145998699999993","9.978717899999992","0.6493015000000071","70.19226339999999","2025-09-18T18:00:55"
"250000","100","0.004076699999998823","16.0405475","37.5327994","4.669776299999995","10.712551199999993","0.46912859999999057","69.42887969999998","2025-09-18T18:04:39"
"250000","200","0.00759920000000136","25.09689730000001","80.0155268","17.7125049","14.057156300000003","1.8430822999999918","138.7327668","2025-09-18T18:07:09"
"250000","400","0.02432179999999562","31.859588199999962","126.8228158","24.513479700000005","11.771562700000004","1.7453603999999814","196.73712859999995","2025-09-18T18:10:38"
